Sender,Receiver,Timestamp,Discussion Title,Discussion Category,Parent Category,Category Text,Discussion Identifier,Comment ID,Discussion ID
173,342,4/5/13 23:48,Most important change for your school or district?,Group A-C,Units 1-3 Discussion Groups,,Most important change for your school or district?Group A-CUnits 1-3 Discussion Groups,61,14
115,116,4/6/13 0:28,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,62,17
115,116,4/6/13 0:29,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,63,17
115,444,4/6/13 0:30,DLT Resources—Comments and Suggestions,Group O-T,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup O-TUnits 1-3 Discussion Groups,64,13
115,444,4/6/13 0:33,Most important change for your school or district?,Group O-T,Units 1-3 Discussion Groups,,Most important change for your school or district?Group O-TUnits 1-3 Discussion Groups,65,4
30,444,4/6/13 0:40,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,66,2
19,115,4/6/13 4:23,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,67,17
64,444,4/6/13 14:42,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,68,2
64,115,4/6/13 14:55,PD,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,PDUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,69,18
366,444,4/6/13 15:07,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,70,2
366,444,4/6/13 15:12,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,71,2
71,444,4/6/13 15:40,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,72,5
195,444,4/6/13 15:43,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,73,2
37,310,4/6/13 15:46,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,74,9
367,444,4/6/13 17:35,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,75,2
117,116,4/6/13 19:15,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,76,17
54,444,4/6/13 20:10,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,77,5
219,444,4/6/13 20:40,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,78,6
32,37,4/6/13 21:08,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,79,9
444,217,4/6/13 21:33,Submitting Questions for the Expert Panel,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Submitting Questions for the Expert PanelUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,80,8
444,19,4/6/13 21:52,Digital natives?,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Digital natives?Unit 1 Expert PanelUnit 1-3 Expert Panel Discussions,81,10
444,218,4/6/13 22:02,Few predicted the current state of affairs for education 5 years ago,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Few predicted the current state of affairs for education 5 years agoUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,82,11
444,310,4/6/13 22:10,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,83,9
444,234,4/6/13 22:38,What will be different for students and teachers when K-12 education incorporates digital learning?,Group D-L,Units 1-3 Discussion Groups,,What will be different for students and teachers when K-12 education incorporates digital learning?Group D-LUnits 1-3 Discussion Groups,84,19
444,444,4/6/13 22:47,DLT Resources—Comments and Suggestions,Group D-L,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup D-LUnits 1-3 Discussion Groups,85,3
444,355,4/6/13 22:47,DLT Resources—Comments and Suggestions,Group D-L,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup D-LUnits 1-3 Discussion Groups,85,3
236,444,4/6/13 22:54,DLT Resources—Comments and Suggestions,Group D-L,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup D-LUnits 1-3 Discussion Groups,86,3
444,256,4/6/13 23:03,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,87,6
233,234,4/6/13 23:18,What will be different for students and teachers when K-12 education incorporates digital learning?,Group D-L,Units 1-3 Discussion Groups,,What will be different for students and teachers when K-12 education incorporates digital learning?Group D-LUnits 1-3 Discussion Groups,88,19
444,253,4/6/13 23:18,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,89,6
444,444,4/6/13 23:31,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,90,2
444,115,4/6/13 23:48,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,91,17
444,115,4/7/13 0:53,DLT Resources—Comments and Suggestions,Group O-T,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup O-TUnits 1-3 Discussion Groups,92,13
19,115,4/7/13 1:26,PD,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,PDUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,93,18
116,116,4/7/13 2:13,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,94,17
15,444,4/7/13 2:19,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,95,5
280,219,4/7/13 2:42,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,96,6
280,444,4/7/13 2:44,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,97,6
280,444,4/7/13 2:47,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,98,6
217,310,4/7/13 4:17,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,99,9
217,444,4/7/13 4:25,Most important change for your school or district?,Group A-C,Units 1-3 Discussion Groups,,Most important change for your school or district?Group A-CUnits 1-3 Discussion Groups,100,14
399,444,4/7/13 12:52,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,101,6
158,444,4/7/13 13:24,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,102,5
178,444,4/7/13 13:46,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,103,6
178,219,4/7/13 13:56,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,104,6
386,444,4/7/13 14:27,Most important change for your school or district?,Group O-T,Units 1-3 Discussion Groups,,Most important change for your school or district?Group O-TUnits 1-3 Discussion Groups,105,4
30,19,4/7/13 15:15,Digital natives?,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Digital natives?Unit 1 Expert PanelUnit 1-3 Expert Panel Discussions,106,10
354,444,4/7/13 16:18,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,107,2
30,223,4/7/13 16:27,Student Motivation,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Student MotivationUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,108,15
221,444,4/7/13 17:50,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,109,2
221,19,4/7/13 18:00,Digital natives?,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Digital natives?Unit 1 Expert PanelUnit 1-3 Expert Panel Discussions,110,10
257,361,4/7/13 18:08,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,111,9
445,318,4/7/13 18:44,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,112,6
445,301,4/7/13 18:59,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,113,5
217,310,4/7/13 19:02,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,114,9
255,444,4/7/13 19:11,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,115,6
255,256,4/7/13 19:16,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,116,6
30,221,4/7/13 19:26,It Begins at the Top,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,It Begins at the TopUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,117,20
400,444,4/7/13 19:41,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,118,6
102,444,4/7/13 20:13,Most important change for your school or district?,Group O-T,Units 1-3 Discussion Groups,,Most important change for your school or district?Group O-TUnits 1-3 Discussion Groups,119,4
368,444,4/7/13 20:18,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,120,2
305,444,4/7/13 20:26,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,121,5
35,116,4/7/13 20:29,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,122,17
299,444,4/7/13 20:30,Most important change for your school or district?,Group O-T,Units 1-3 Discussion Groups,,Most important change for your school or district?Group O-TUnits 1-3 Discussion Groups,123,4
299,221,4/7/13 20:37,It Begins at the Top,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,It Begins at the TopUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,124,20
104,256,4/7/13 20:49,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,125,6
387,444,4/7/13 21:05,Most important change for your school or district?,Group O-T,Units 1-3 Discussion Groups,,Most important change for your school or district?Group O-TUnits 1-3 Discussion Groups,126,4
30,104,4/7/13 21:08,How do we get parents on board?,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,How do we get parents on board?Unit 1 Expert PanelUnit 1-3 Expert Panel Discussions,127,21
104,30,4/7/13 21:30,How do we get parents on board?,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,How do we get parents on board?Unit 1 Expert PanelUnit 1-3 Expert Panel Discussions,128,21
44,444,4/8/13 0:47,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,129,2
281,219,4/8/13 0:58,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,130,6
311,310,4/8/13 1:54,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,131,9
36,305,4/8/13 2:23,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,132,5
69,444,4/8/13 2:23,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,133,2
36,132,4/8/13 2:31,Digital Divide,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Digital DivideUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,134,22
36,115,4/8/13 2:47,PD,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,PDUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,135,18
288,342,4/8/13 3:22,Most important change for your school or district?,Group A-C,Units 1-3 Discussion Groups,,Most important change for your school or district?Group A-CUnits 1-3 Discussion Groups,136,14
35,19,4/8/13 3:27,Digital natives?,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Digital natives?Unit 1 Expert PanelUnit 1-3 Expert Panel Discussions,137,10
288,115,4/8/13 3:36,PD,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,PDUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,138,18
343,444,4/8/13 5:45,Most important change for your school or district?,Group O-T,Units 1-3 Discussion Groups,,Most important change for your school or district?Group O-TUnits 1-3 Discussion Groups,139,4
118,115,4/8/13 11:10,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,140,17
118,116,4/8/13 12:15,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,141,17
63,444,4/8/13 12:22,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,142,5
270,115,4/8/13 12:57,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,143,17
235,234,4/8/13 13:13,What will be different for students and teachers when K-12 education incorporates digital learning?,Group D-L,Units 1-3 Discussion Groups,,What will be different for students and teachers when K-12 education incorporates digital learning?Group D-LUnits 1-3 Discussion Groups,144,19
193,195,4/8/13 13:44,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,145,2
193,444,4/8/13 13:50,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,146,2
30,444,4/8/13 13:58,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,147,2
66,356,4/8/13 14:07,Most important change for your school or district?,Group D-L,Units 1-3 Discussion Groups,,Most important change for your school or district?Group D-LUnits 1-3 Discussion Groups,148,1
395,444,4/8/13 14:13,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,149,5
82,444,4/8/13 14:24,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,150,5
196,444,4/8/13 14:43,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,151,5
369,444,4/8/13 14:43,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,152,2
284,444,4/8/13 14:44,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,153,2
119,116,4/8/13 14:47,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,154,17
152,444,4/8/13 14:50,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,155,5
119,221,4/8/13 14:57,It Begins at the Top,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,It Begins at the TopUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,156,20
312,310,4/8/13 14:57,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,157,9
401,444,4/8/13 15:07,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,158,6
287,115,4/8/13 15:15,PD,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,PDUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,159,18
35,116,4/8/13 15:27,Education in 2020,Group O-T,Units 1-3 Discussion Groups,,Education in 2020Group O-TUnits 1-3 Discussion Groups,160,17
