Sender,Reciever,Timestamp,Title,Category,Parent,Description,CommentID,DiscussionID
278,43,9/30/13,Teacher and parent attitudes,Most important changes needed in K-12 education?,Group A-L,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,120,5
184,43,10/2/13,Teacher and parent attitudes,Most important changes needed in K-12 education?,Group A-L,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,311,5
302,300,9/28/13,"Martina Diaz - Tinian, Northern Mariana Islands",Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",9,6
158,300,9/30/13,"Martina Diaz - Tinian, Northern Mariana Islands",Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",82,6
302,316,9/28/13,"Mel Cooke - Instructional Technology Coordinator & Coach - Edmonds School District, Edmonds, WA",Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",10,7
128,316,9/29/13,"Mel Cooke - Instructional Technology Coordinator & Coach - Edmonds School District, Edmonds, WA",Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",37,7
158,316,9/30/13,"Mel Cooke - Instructional Technology Coordinator & Coach - Edmonds School District, Edmonds, WA",Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",77,7
302,60,9/28/13,Bryon Kolbeck- Director of Technology and Media Services- Wausau WI,Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",11,8
112,60,9/28/13,Bryon Kolbeck- Director of Technology and Media Services- Wausau WI,Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",18,8
289,60,9/30/13,Bryon Kolbeck- Director of Technology and Media Services- Wausau WI,Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",90,8
302,334,9/28/13,Greetings from the North :),Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",12,9
158,334,9/30/13,Greetings from the North :),Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",69,9
23,334,9/30/13,Greetings from the North :),Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",78,9
302,410,9/28/13,"Sarah Glatz - Regional School Unit 57, Waterboro, Maine",Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",13,10
302,188,9/28/13,Proper vision and implementation,Most important changes needed in K-12 education?,Group A-L,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,14,11
66,188,9/30/13,Proper vision and implementation,Most important changes needed in K-12 education?,Group A-L,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,110,11
147,188,9/30/13,Proper vision and implementation,Most important changes needed in K-12 education?,Group A-L,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,134,11
304,188,10/11/13,Proper vision and implementation,Most important changes needed in K-12 education?,Group A-L,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,888,11
302,304,10/13/13,Proper vision and implementation,Most important changes needed in K-12 education?,Group A-L,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,930,11
302,302,9/28/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,15,12
3,302,9/28/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,20,12
157,302,9/29/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,29,12
348,302,9/29/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,33,12
459,302,9/30/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,108,12
357,157,9/30/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,118,12
23,459,10/1/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,173,12
457,157,10/1/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,176,12
267,23,10/2/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,342,12
267,459,10/2/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,343,12
402,302,10/3/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,364,12
271,457,10/3/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,376,12
271,457,10/3/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,377,12
125,302,10/3/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,378,12
347,302,10/4/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,438,12
14,302,10/5/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,510,12
471,302,10/5/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,521,12
67,302,10/5/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,553,12
246,302,10/7/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,627,12
246,302,10/7/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,629,12
117,302,10/8/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,740,12
383,125,10/8/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,750,12
183,302,10/11/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,867,12
23,471,10/11/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,875,12
302,183,10/13/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,932,12
212,471,10/25/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,1483,12
212,23,10/25/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,1484,12
347,459,1/1/14,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group M-N,What would you recommend in your own school or district?,2556,12
296,158,9/28/13,"Glenn Kleiman, MOOC-Ed Leader, Raleigh NC",Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",16,13
174,158,10/2/13,"Glenn Kleiman, MOOC-Ed Leader, Raleigh NC",Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",315,13
158,174,10/3/13,"Glenn Kleiman, MOOC-Ed Leader, Raleigh NC",Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",428,13
112,379,9/28/13,"Ricardo Calderon - TLT member - Muscat, Oman",Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",17,14
158,379,9/30/13,"Ricardo Calderon - TLT member - Muscat, Oman",Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",80,14
112,300,9/28/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,19,15
101,300,9/30/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,52,15
131,300,9/30/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,104,15
302,131,9/30/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,109,15
272,300,9/30/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,127,15
273,300,9/30/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,143,15
135,300,10/1/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,232,15
346,300,10/2/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,266,15
384,101,10/3/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,389,15
148,300,10/5/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,514,15
450,300,10/7/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,684,15
274,300,10/11/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,880,15
93,300,10/12/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,917,15
436,300,10/23/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,1335,15
288,273,11/20/13,Changes for students and teachers,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,2258,15
112,302,9/28/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,21,16
302,302,9/28/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,26,16
157,302,9/29/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,30,16
128,302,9/29/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,39,16
70,302,9/29/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,50,16
318,302,9/30/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,92,16
447,302,9/30/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,131,16
147,447,9/30/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,136,16
273,302,9/30/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,142,16
411,70,10/1/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,192,16
371,302,10/1/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,205,16
233,302,10/1/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,215,16
180,302,10/1/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,219,16
56,302,10/1/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,231,16
392,56,10/2/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,316,16
223,302,10/2/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,329,16
26,371,10/2/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,345,16
223,371,10/3/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,372,16
316,273,10/3/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,388,16
440,302,10/3/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,412,16
363,302,10/7/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,654,16
342,302,10/9/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,765,16
316,157,10/11/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,886,16
316,391,10/11/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,887,16
93,302,10/12/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,916,16
302,93,10/13/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,931,16
367,302,10/14/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,963,16
64,302,10/14/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,986,16
477,273,10/16/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,1051,16
387,180,10/19/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,1135,16
241,302,10/23/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,1362,16
268,70,10/25/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,1473,16
196,302,10/28/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group O-Z,What would you recommend in your own school or district?,1641,16
302,220,9/28/13,Hello from the Cereal City!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",23,18
158,220,9/30/13,Hello from the Cereal City!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",68,18
357,220,9/30/13,Hello from the Cereal City!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",116,18
195,220,9/30/13,Hello from the Cereal City!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",137,18
158,357,10/1/13,Hello from the Cereal City!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",243,18
59,220,10/3/13,Hello from the Cereal City!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",366,18
302,156,9/28/13,"Gene Peuse - Tanzania, East Africa",Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",24,19
158,156,9/30/13,"Gene Peuse - Tanzania, East Africa",Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",79,19
331,156,10/1/13,"Gene Peuse - Tanzania, East Africa",Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",149,19
302,302,9/28/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,25,20
81,302,9/29/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,27,20
157,302,9/29/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,28,20
257,157,9/29/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,32,20
203,157,9/30/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,102,20
133,302,9/30/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,111,20
224,133,9/30/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,112,20
160,302,9/30/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,119,20
278,224,9/30/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,121,20
142,157,10/1/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,198,20
472,302,10/1/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,204,20
184,302,10/2/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,310,20
86,302,10/2/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,319,20
88,157,10/2/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,325,20
185,302,10/3/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,394,20
292,302,10/3/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,418,20
292,302,10/3/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,419,20
62,302,10/3/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,420,20
292,62,10/4/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,470,20
52,302,10/5/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,523,20
304,157,10/6/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,563,20
304,257,10/6/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,564,20
302,302,10/6/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,587,20
114,302,10/6/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,602,20
226,302,10/7/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,621,20
361,302,10/7/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,622,20
408,361,10/7/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,632,20
453,302,10/8/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,703,20
466,304,10/8/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,712,20
28,62,10/9/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,755,20
176,302,10/9/13,What will be different for students and teachers?,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,788,20
257,465,9/29/13,Introduction - Terri Perrino K-8 technology instructor,Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",31,21
348,3,9/29/13,Leadership changes,Most important changes needed in K-12 education?,Group M-N,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,34,22
457,3,10/1/13,Leadership changes,Most important changes needed in K-12 education?,Group M-N,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,172,22
246,3,10/7/13,Leadership changes,Most important changes needed in K-12 education?,Group M-N,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,631,22
245,158,9/29/13,Isaac Asimov video,Unit 1 Resources,Group A-L,"Which of the resources did you find most useful, and why?  What other resources would you suggest?",35,23
483,158,10/1/13,Isaac Asimov video,Unit 1 Resources,Group A-L,"Which of the resources did you find most useful, and why?  What other resources would you suggest?",208,23
388,158,10/1/13,Isaac Asimov video,Unit 1 Resources,Group A-L,"Which of the resources did you find most useful, and why?  What other resources would you suggest?",239,23
142,158,10/2/13,Isaac Asimov video,Unit 1 Resources,Group A-L,"Which of the resources did you find most useful, and why?  What other resources would you suggest?",281,23
260,158,10/4/13,Isaac Asimov video,Unit 1 Resources,Group A-L,"Which of the resources did you find most useful, and why?  What other resources would you suggest?",440,23
114,158,10/6/13,Isaac Asimov video,Unit 1 Resources,Group A-L,"Which of the resources did you find most useful, and why?  What other resources would you suggest?",605,23
307,158,10/8/13,Isaac Asimov video,Unit 1 Resources,Group A-L,"Which of the resources did you find most useful, and why?  What other resources would you suggest?",696,23
128,359,9/29/13,"Paul McIntyre, Director of Innovation, North Canton City Schools, North Canton, Ohio",Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",36,24
128,437,9/29/13,2020 Changes,Most important changes needed in K-12 education?,Group O-Z,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,40,25
358,437,10/3/13,2020 Changes,Most important changes needed in K-12 education?,Group O-Z,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,359,25
172,437,10/9/13,2020 Changes,Most important changes needed in K-12 education?,Group O-Z,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,786,25
329,322,9/29/13,Hello from Maine!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",41,26
302,322,9/30/13,Hello from Maine!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",59,26
23,322,9/30/13,Hello from Maine!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",81,26
409,322,9/30/13,Hello from Maine!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",103,26
357,322,9/30/13,Hello from Maine!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",113,26
485,322,9/30/13,Hello from Maine!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",123,26
457,322,10/1/13,Hello from Maine!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",163,26
158,322,10/1/13,Hello from Maine!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",242,26
125,322,10/3/13,Hello from Maine!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",375,26
329,158,9/29/13,"Glenn Kleiman, MOOC-Ed Leader, Raleigh NC",Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",43,27
158,329,9/30/13,"Glenn Kleiman, MOOC-Ed Leader, Raleigh NC",Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",67,27
471,158,10/5/13,"Glenn Kleiman, MOOC-Ed Leader, Raleigh NC",Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",517,27
307,257,9/29/13,Hello to All!,Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",44,28
187,257,10/1/13,Hello to All!,Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",181,28
75,257,10/1/13,Hello to All!,Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",220,28
307,157,9/29/13,Gerald Aungst - MOOC Expert Team Member,Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",45,29
302,157,9/30/13,Gerald Aungst - MOOC Expert Team Member,Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",54,29
433,157,10/2/13,Gerald Aungst - MOOC Expert Team Member,Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",299,29
307,319,9/29/13,"Technology Resource Teacher Redwood City, CA",Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",46,30
307,491,9/29/13,Introduction,Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",47,31
483,224,9/30/13,Introduction,Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",145,31
307,176,9/29/13,"Jamie Burgess - Coordinator of Online Learning - Avondale, AZ",Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",48,32
362,176,9/30/13,"Jamie Burgess - Coordinator of Online Learning - Avondale, AZ",Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",100,32
