uid,facilitator,role,experience2,experience,grades,location,region,country,group,gender,expert,connect
44,0,classteaching,1,7,primary,NY,Northeast,US,MN,female,0,0
45,0,libmedia,2,13,primary,WI,Midwest,US,OZ,female,0,0
46,0,consultant,3,40,generalist,ME,Northeast,US,MN,female,1,1
47,0,curriculum,3,23,generalist,TX,South,US,OZ,female,0,0
48,0,instructionaltech,1,6,primary,NJ,Northeast,US,MN,male,0,0
49,0,profdev,1,9,generalist,WI,Midwest,US,OZ,male,0,0
50,0,instructionaltech,1,8,secondary,NJ,Northeast,US,MN,female,0,0
51,0,classteaching,3,24,primary,NC,South,US,MN,female,0,0
52,0,profdev,2,15,secondary,IL,Midwest,US,AL,male,0,0
53,0,classteaching,2,14,middle,AZ,West,US,AL,male,0,0
54,0,other,2,15,NULL,CAN,International,CA,AL,male,0,1
55,0,instructionaltech,2,12,generalist,WI,Midwest,US,OZ,male,0,0
56,0,techinfrastructure,2,14,generalist,OH,Midwest,US,OZ,male,0,0
57,0,instructionaltech,2,20,generalist,WI,Midwest,US,OZ,male,0,0
58,0,classteaching,1,5,generalist,SC,South,US,OZ,female,0,0
59,0,instructionaltech,1,10,primary,NH,Northeast,US,MN,female,0,0
60,0,instructionaltech,2,12,generalist,WI,Midwest,US,OZ,male,0,0
61,0,curriculum,1,9,generalist,IN,Midwest,US,AL,female,0,0
62,0,classteaching,1,0,middle,CAN,International,CA,AL,female,0,0
63,0,instructionaltech,1,9,generalist,NC,South,US,MN,male,0,0
64,0,classteaching,3,30,generalist,OH,Midwest,US,OZ,female,0,1
65,0,classteaching,3,30,generalist,OH,Midwest,US,OZ,female,0,1
66,0,curriculum,3,22,generalist,CT,Northeast,US,AL,female,0,0
67,0,classteaching,2,20,primary,NH,Northeast,US,MN,female,0,0
68,0,specialed,1,4,primary,NM,West,US,MN,female,0,0
69,0,classteaching,1,10,middle,WI,Midwest,US,OZ,female,0,0
70,0,classteaching,2,20,primary,OH,Midwest,US,OZ,female,0,0
71,0,classteaching,1,2,middle,OH,Midwest,US,OZ,female,0,1
72,0,admin,3,30,generalist,CAN,International,CA,AL,female,0,0
73,0,classteaching,2,12,generalist,NC,South,US,MN,female,0,0
74,0,admin,2,16,primary,MD,South,US,MN,female,0,1
75,0,instructionaltech,2,16,primary,GA,South,US,AL,female,0,0
76,0,classteaching,3,30,primary,NM,West,US,MN,female,0,0
77,0,instructionaltech,1,7,secondary,TX,South,US,OZ,female,0,0
78,0,classteaching,3,22,secondary,CAN,International,CA,AL,male,0,0
79,0,curriculum,3,24,generalist,IL,Midwest,US,AL,female,0,0
80,0,admin,3,23,generalist,CAN,International,CA,AL,male,0,0
81,0,classteaching,1,7,generalist,ISL,International,IN,AL,male,0,0
82,0,instructionaltech,1,0,generalist,CT,Northeast,US,AL,female,0,0
83,0,instructionaltech,3,30,generalist,CA,West,US,AL,female,0,0
84,0,admin,3,25,generalist,NC,South,US,MN,male,0,1
85,0,techinfrastructure,1,0,generalist,WA,West,US,OZ,male,0,0
86,0,instructionaltech,1,10,generalist,MA,Northeast,US,MN,male,0,0
87,0,other,2,20,generalist,AZ,West,US,AL,female,0,0
88,0,curriculum,3,23,primary,IN,Midwest,US,AL,male,0,0
89,0,classteaching,2,14,primary,WY,West,US,OZ,female,0,0
90,0,operations,1,2,primary,DC,South,US,AL,female,0,0
91,0,specialed,1,1,middle,IN,Midwest,US,AL,male,0,1
92,0,admin,2,12,primary,CA,West,US,AL,male,0,0
93,0,instructionaltech,3,24,generalist,WV,South,US,OZ,female,0,1
94,0,profdev,3,24,generalist,FL,South,US,AL,female,0,0
95,0,instructionaltech,2,13,generalist,FL,South,US,AL,female,0,0
96,0,other,2,16,secondary,IL,Midwest,US,AL,female,0,0
97,0,classteaching,2,14,generalist,GA,South,US,AL,female,0,0
98,0,profdev,2,17,generalist,GA,South,US,AL,female,0,1
99,0,libmedia,2,20,generalist,IN,Midwest,US,AL,female,0,0
100,0,profdev,1,0,generalist,FL,South,US,AL,male,0,0
101,0,admin,2,20,primary,TX,South,US,OZ,female,0,0
102,0,instructionaltech,2,13,generalist,MA,Northeast,US,MN,female,0,0
103,0,projectmanagement,1,0,generalist,WA,West,US,OZ,female,0,0
104,0,classteaching,1,6,generalist,CT,Northeast,US,AL,female,0,0
105,0,libmedia,1,10,generalist,WA,West,US,OZ,female,0,0
106,0,classteaching,1,8,primary,JO,International,JO,AL,female,0,1
107,0,otheredprof,3,30,generalist,TX,South,US,OZ,female,0,0
108,0,other,1,6,generalist,VT,Northeast,US,OZ,male,0,0
109,0,classteaching,1,0,middle,PA,Northeast,US,OZ,male,0,0
110,0,curriculum,1,2,generalist,AZ,West,US,AL,male,0,0
111,0,classteaching,2,13,primary,CAN,International,CA,AL,male,0,0
112,0,classteaching,2,13,generalist,RI,Northeast,US,OZ,female,0,0
113,0,instructionaltech,3,35,generalist,TX,South,US,OZ,female,0,0
114,0,libmedia,3,23,generalist,IA,Midwest,US,AL,male,0,0
115,0,instructionaltech,2,14,secondary,IL,Midwest,US,AL,female,0,0
116,0,instructionaltech,2,18,generalist,NC,South,US,MN,female,0,0
117,0,libmedia,3,23,secondary,MD,South,US,MN,female,0,0
118,0,profdev,3,30,generalist,IN,Midwest,US,AL,female,0,0
119,0,instructionaltech,3,29,generalist,NC,South,US,MN,female,0,0
120,0,other,1,0,generalist,NC,South,US,MN,female,0,1
121,0,instructionaltech,2,17,generalist,TX,South,US,OZ,female,0,1
122,0,instructionaltech,1,10,generalist,MI,Midwest,US,MN,female,0,0
123,0,profdev,2,15,generalist,DC,South,US,AL,male,0,0
124,0,admin,3,36,generalist,IN,Midwest,US,AL,female,0,0
125,0,instructionaltech,3,23,secondary,ME,Northeast,US,MN,female,0,0
126,0,classteaching,2,13,middle,WA,West,US,OZ,male,0,0
127,0,curriculum,3,30,secondary,ISL,International,ISL,AL,male,0,1
128,0,instructionaltech,2,13,generalist,PA,Northeast,US,OZ,female,0,1
129,0,other,3,42,generalist,NC,South,US,MN,female,0,0
130,0,instructionaltech,2,16,secondary,MA,Northeast,US,MN,female,0,0
131,0,admin,3,33,generalist,PA,Northeast,US,OZ,female,0,0
132,0,projectmanagement,3,32,generalist,CAN,International,CA,AL,female,0,1
133,0,curriculum,3,26,generalist,DE,South,US,AL,female,0,0
134,0,profdev,3,21,secondary,MN,Midwest,US,MN,female,0,0
135,0,instructionaltech,2,12,primary,WV,South,US,OZ,female,0,0
136,0,classteaching,1,3,generalist,IN,Midwest,US,AL,male,0,0
137,0,curriculum,1,6,generalist,NC,South,US,MN,female,0,0
138,0,instructionaltech,3,21,secondary,WI,Midwest,US,OZ,female,0,0
139,0,instructionaltech,2,15,primary,WA,West,US,OZ,female,0,0
140,0,profdev,2,20,generalist,NC,South,US,MN,male,0,0
141,0,profdev,2,16,secondary,NC,South,US,MN,male,0,0
142,0,instructionaltech,2,17,secondary,IL,Midwest,US,AL,male,0,0
143,0,classteaching,2,11,middle,OH,Midwest,US,OZ,female,0,0
144,0,specialed,2,19,primary,OR,West,US,OZ,male,0,1
145,0,classteaching,1,4,primary,AZ,West,US,AL,female,0,0
146,0,curriculum,2,17,generalist,WA,West,US,OZ,female,0,0
147,0,admin,2,14,secondary,OH,Midwest,US,OZ,female,1,0
148,0,curriculum,1,6,secondary,PK,International,PK,OZ,male,0,0
149,0,curriculum,3,22,primary,PK,International,PK,OZ,female,0,0
150,0,curriculum,1,10,middle,PK,International,PK,OZ,female,0,0
151,0,instructionaltech,1,3,generalist,NM,West,US,MN,female,0,0
152,0,projectmanagement,3,40,generalist,NM,West,US,MN,male,0,1
153,0,techinfrastructure,1,10,generalist,FL,South,US,AL,male,0,0
154,0,instructionaltech,2,20,generalist,NJ,Northeast,US,MN,male,0,0
155,0,admin,3,38,generalist,AZ,West,US,AL,male,1,1
156,0,classteaching,1,5,primary,TZ,International,TZ,OZ,male,0,0
157,0,curriculum,3,22,generalist,PA,Northeast,US,OZ,male,1,0
158,1,otheredprof,3,35,generalist,NC,South,US,MN,male,0,0
159,0,curriculum,1,7,secondary,TX,South,US,OZ,female,0,0
160,0,classteaching,2,20,secondary,CAN,International,CA,AL,female,0,0
161,0,instructionaltech,2,15,middle,VA,South,US,OZ,female,0,0
162,0,profdev,2,14,generalist,FL,South,US,AL,female,0,0
163,0,techinfrastructure,1,10,generalist,VT,Northeast,US,OZ,female,0,0
164,0,profdev,1,10,primary,AZ,West,US,AL,female,0,0
165,0,classteaching,1,10,primary,OR,West,US,OZ,female,0,0
166,0,instructionaltech,2,17,secondary,ME,Northeast,US,MN,female,0,0
167,0,instructionaltech,2,14,generalist,TX,South,US,OZ,female,0,0
168,0,admin,2,14,primary,NH,Northeast,US,MN,female,0,0
169,0,curriculum,3,23,generalist,CA,West,US,AL,female,0,0
170,0,curriculum,1,7,primary,AZ,West,US,AL,female,0,0
171,0,specialed,1,0,generalist,PT,International,PT,OZ,female,0,1
172,0,classteaching,1,8,generalist,WI,Midwest,US,OZ,male,0,1
173,0,other,1,8,generalist,CAN,International,CA,AL,female,0,0
174,0,instructionaltech,2,20,generalist,CT,Northeast,US,AL,female,0,0
175,0,profdev,2,15,generalist,WY,West,US,OZ,male,0,1
176,0,instructionaltech,1,10,secondary,AZ,West,US,AL,female,0,0
177,0,classteaching,1,0,generalist,MA,Northeast,US,MN,female,0,0
178,0,instructionaltech,2,13,middle,OH,Midwest,US,OZ,female,0,0
179,0,profdev,3,34,secondary,WA,West,US,OZ,female,0,0
180,0,classteaching,3,28,secondary,RI,Northeast,US,OZ,female,0,0
181,0,profdev,1,0,generalist,NM,West,US,MN,female,0,0
182,0,instructionaltech,2,16,primary,MD,South,US,MN,female,0,0
183,0,instructionaltech,2,19,generalist,MO,Midwest,US,MN,female,0,0
184,0,techinfrastructure,1,0,generalist,CA,West,US,AL,male,0,0
185,0,classteaching,2,12,middle,CAN,International,CA,AL,male,0,0
186,0,admin,1,10,secondary,MD,South,US,MN,male,0,0
187,0,instructionaltech,2,12,secondary,CAN,International,CA,AL,male,0,0
188,0,instructionaltech,1,5,secondary,AZ,West,US,AL,male,0,0
189,0,operations,2,15,middle,OH,Midwest,US,OZ,male,0,0
190,0,instructionaltech,2,18,secondary,NC,South,US,MN,female,0,0
191,0,instructionaltech,1,8,generalist,IL,Midwest,US,AL,female,0,1
192,0,consultant,1,0,generalist,NH,Northeast,US,MN,male,0,0
193,0,profdev,2,20,generalist,OR,West,US,OZ,female,0,0
194,0,specialed,2,20,generalist,CAN,International,CA,AL,female,0,0
195,0,classteaching,1,7,secondary,NC,South,US,MN,female,0,0
196,0,libmedia,2,14,generalist,WI,Midwest,US,OZ,female,0,0
197,0,profdev,1,8,generalist,OR,West,US,OZ,male,1,1
198,0,instructionaltech,2,11,middle,NC,South,US,MN,female,0,0
199,0,other,2,18,generalist,WA,West,US,OZ,male,0,0
200,0,instructionaltech,1,6,generalist,WI,Midwest,US,OZ,male,0,0
201,0,classteaching,1,10,secondary,CAN,International,CA,AL,male,0,1
202,0,instructionaltech,1,8,secondary,IL,Midwest,US,AL,female,0,0
203,0,profdev,1,7,middle,KS,Midwest,US,AL,female,0,1
204,0,instructionaltech,1,1,generalist,NH,Northeast,US,MN,female,0,0
205,0,classteaching,1,1,generalist,TX,South,US,OZ,female,0,0
206,0,other,1,0,primary,CT,Northeast,US,AL,female,0,0
207,0,specialed,2,11,primary,WI,Midwest,US,OZ,female,0,0
208,0,curriculum,3,21,middle,OR,West,US,OZ,male,0,0
209,0,techinfrastructure,2,19,primary,MD,South,US,MN,male,0,1
210,0,specialed,3,30,generalist,OR,West,US,OZ,male,0,0
211,0,consultant,1,3,secondary,OR,West,US,OZ,male,0,1
212,0,classteaching,1,9,primary,MA,Northeast,US,MN,female,0,0
213,0,curriculum,2,12,generalist,NH,Northeast,US,MN,female,0,1
214,0,libmedia,1,0,generalist,CAN,International,CA,AL,female,0,0
215,0,instructionaltech,3,30,generalist,DC,South,US,AL,male,0,0
216,0,profdev,3,43,generalist,MA,Northeast,US,MN,female,1,0
217,0,techinfrastructure,1,10,generalist,OR,West,US,OZ,male,0,0
218,0,classteaching,1,5,secondary,AL,South,US,AL,male,0,0
219,0,instructionaltech,3,22,generalist,WV,South,US,OZ,male,0,0
220,0,other,1,8,primary,MI,Midwest,US,MN,male,0,0
221,0,instructionaltech,3,26,generalist,MD,South,US,MN,female,0,0
222,0,instructionaltech,3,26,generalist,MD,South,US,MN,female,0,0
223,0,operations,2,12,generalist,SE,International,SE,OZ,female,0,1
224,0,admin,3,40,generalist,IL,Midwest,US,AL,female,0,0
225,0,libmedia,3,32,generalist,WI,Midwest,US,OZ,female,0,0
226,0,instructionaltech,3,30,generalist,IA,Midwest,US,AL,female,0,0
227,0,instructionaltech,2,18,generalist,CO,West,US,AL,female,0,0
228,0,other,1,7,generalist,WI,Midwest,US,OZ,female,0,0
229,0,instructionaltech,1,6,generalist,NA,International,NA,MN,male,0,0
230,0,curriculum,2,12,secondary,VT,Northeast,US,OZ,female,0,0
231,0,libmedia,1,8,secondary,NC,South,US,MN,female,0,0
232,0,other,1,10,middle,CAN,International,CA,AL,female,0,0
233,0,instructionaltech,3,31,generalist,VA,South,US,OZ,female,0,0
234,0,curriculum,3,30,generalist,ME,Northeast,US,MN,female,0,0
235,0,specialed,3,28,secondary,ME,Northeast,US,MN,female,0,0
236,0,instructionaltech,2,18,generalist,VA,South,US,OZ,female,0,0
237,0,other,3,25,primary,MO,Midwest,US,MN,female,0,0
238,0,libmedia,3,28,secondary,WA,West,US,OZ,female,0,0
239,0,other,1,1,generalist,DC,South,US,AL,female,0,0
240,0,classteaching,1,5,generalist,NI,International,NA,MN,female,0,0
241,0,curriculum,3,26,primary,NH,Northeast,US,MN,female,0,0
242,0,instructionaltech,2,12,middle,MA,Northeast,US,MN,female,0,0
243,0,libmedia,1,0,generalist,WY,West,US,OZ,female,0,0
244,0,instructionaltech,1,7,generalist,AZ,West,US,AL,female,0,0
245,0,instructionaltech,3,43,generalist,FL,South,US,AL,female,0,0
246,0,classteaching,1,10,primary,NC,South,US,MN,male,0,1
247,0,classteaching,2,17,generalist,KS,Midwest,US,AL,male,0,0
248,0,classteaching,2,13,primary,AZ,West,US,AL,female,0,0
249,0,curriculum,3,24,generalist,PA,Northeast,US,OZ,male,0,0
250,0,instructionaltech,2,16,generalist,UT,West,US,OZ,male,0,0
251,0,admin,3,43,generalist,NH,Northeast,US,MN,male,0,0
252,0,curriculum,2,14,generalist,TN,South,US,OZ,female,0,0
253,0,admin,2,17,primary,OR,West,US,OZ,male,0,0
254,0,instructionaltech,3,28,generalist,WA,West,US,OZ,female,0,0
255,0,classteaching,1,6,secondary,MO,Midwest,US,MN,female,0,0
256,0,instructionaltech,3,23,primary,TX,South,US,OZ,female,0,0
257,0,libmedia,2,16,primary,FL,South,US,AL,female,0,0
258,0,classteaching,2,13,generalist,NC,South,US,MN,female,0,0
259,0,instructionaltech,1,0,generalist,WI,Midwest,US,OZ,female,0,0
260,0,curriculum,3,39,generalist,FL,South,US,AL,female,0,0
261,0,admin,1,7,middle,WI,Midwest,US,OZ,female,0,0
262,0,instructionaltech,1,5,generalist,WA,West,US,OZ,female,0,0
263,0,classteaching,3,29,primary,NH,Northeast,US,MN,female,0,0
264,0,libmedia,3,23,secondary,VA,South,US,OZ,male,0,0
265,0,classteaching,2,13,middle,FL,South,US,AL,female,0,0
266,0,curriculum,2,20,generalist,NC,South,US,MN,female,0,0
267,0,instructionaltech,2,18,middle,NC,South,US,MN,female,0,0
268,0,libmedia,1,0,primary,WI,Midwest,US,OZ,female,0,1
269,0,specialed,1,8,generalist,WA,West,US,OZ,female,0,0
270,0,techinfrastructure,2,16,generalist,NC,South,US,MN,male,0,0
271,0,instructionaltech,2,14,generalist,ME,Northeast,US,MN,female,0,0
272,0,curriculum,1,5,middle,VN,International,VN,OZ,male,0,0
273,0,admin,2,20,generalist,TX,South,US,OZ,female,0,0
274,0,curriculum,1,6,generalist,PK,International,PK,OZ,female,0,0
275,0,classteaching,3,25,primary,VT,Northeast,US,OZ,female,0,0
276,0,curriculum,2,20,generalist,OR,West,US,OZ,female,0,0
277,0,curriculum,2,17,secondary,AU,International,AU,AL,female,0,0
278,0,classteaching,1,8,primary,IN,Midwest,US,AL,male,0,0
279,0,classteaching,1,2,primary,CAN,International,CA,AL,female,0,1
280,0,consultant,3,33,generalist,PA,Northeast,US,OZ,female,0,1
281,0,classteaching,2,20,middle,VA,South,US,OZ,female,0,0
282,0,classteaching,2,20,generalist,VA,South,US,OZ,female,0,0
283,0,instructionaltech,1,8,generalist,UT,West,US,OZ,female,0,0
284,0,specialed,2,13,secondary,IL,Midwest,US,AL,female,0,0
285,0,techinfrastructure,2,16,generalist,NM,West,US,MN,male,0,0
286,0,curriculum,1,0,generalist,WA,West,US,OZ,female,0,0
287,0,curriculum,2,18,generalist,WV,South,US,OZ,female,0,0
288,0,profdev,3,25,generalist,SA,International,SA,OZ,female,0,0
289,0,classteaching,3,30,generalist,WI,Midwest,US,OZ,male,0,1
290,0,other,3,25,generalist,IL,Midwest,US,AL,female,0,0
291,0,curriculum,1,2,generalist,PK,International,PK,OZ,female,0,0
292,0,consultant,3,34,generalist,GA,South,US,AL,female,0,0
293,0,profdev,2,18,middle,TN,South,US,OZ,female,0,0
294,0,profdev,3,25,primary,OR,West,US,OZ,female,0,0
295,0,classteaching,3,25,secondary,WV,South,US,OZ,male,0,0
296,0,instructionaltech,1,0,generalist,NC,South,US,MN,male,0,0
297,0,instructionaltech,1,2,generalist,JO,International,JO,AL,male,0,1
298,0,curriculum,3,26,middle,KS,Midwest,US,AL,female,0,0
299,0,consultant,3,37,generalist,MA,Northeast,US,MN,female,0,0
300,0,other,1,4,secondary,GU,International,GU,AL,female,0,0
301,0,consultant,2,16,generalist,DC,South,US,AL,female,0,0
302,1,otheredprof,2,15,generalist,NC,South,US,MN,female,0,0
303,0,other,1,0,generalist,AZ,West,US,AL,female,0,1
304,0,consultant,3,33,generalist,GB,International,GB,AL,female,0,0
305,0,instructionaltech,2,14,generalist,TX,South,US,OZ,female,0,1
306,0,instructionaltech,1,7,generalist,PH,International,PH,OZ,female,0,0
307,0,instructionaltech,3,40,generalist,IA,Midwest,US,AL,female,0,1
308,0,projectmanagement,2,17,generalist,PK,International,PK,OZ,female,0,0
309,0,curriculum,2,19,middle,NC,South,US,MN,male,0,0
310,0,profdev,2,13,generalist,NC,South,US,MN,male,0,0
311,0,other,1,0,generalist,MO,Midwest,US,MN,male,0,0
312,0,other,2,20,generalist,NC,South,US,MN,male,0,0
313,0,instructionaltech,2,20,generalist,NH,Northeast,US,MN,female,0,0
314,0,projectmanagement,1,7,secondary,MA,Northeast,US,MN,female,0,1
315,0,classteaching,2,14,generalist,AZ,West,US,AL,female,0,0
316,0,profdev,2,20,generalist,WA,West,US,OZ,male,0,0
317,0,classteaching,2,16,middle,SC,South,US,OZ,female,0,1
318,0,classteaching,2,18,middle,NC,South,US,MN,male,0,0
319,0,instructionaltech,2,15,primary,CA,West,US,AL,female,0,0
320,0,curriculum,3,26,generalist,SC,South,US,OZ,female,0,0
321,0,instructionaltech,1,10,middle,WA,West,US,OZ,male,0,0
322,0,techinfrastructure,1,0,generalist,ME,Northeast,US,MN,male,0,0
323,0,instructionaltech,2,18,generalist,WA,West,US,OZ,male,0,0
324,0,instructionaltech,2,15,generalist,ME,Northeast,US,MN,male,0,0
325,0,profdev,2,15,secondary,NH,Northeast,US,MN,male,0,0
326,0,curriculum,2,15,secondary,OH,Midwest,US,OZ,male,0,0
327,0,curriculum,2,12,primary,OH,Midwest,US,OZ,male,0,0
328,0,other,1,0,generalist,US,South,US,OZ,male,1,1
329,0,classteaching,1,5,generalist,NC,South,US,MN,male,0,0
330,0,techinfrastructure,2,17,generalist,BR,International,BR,AL,male,0,0
331,0,other,3,28,generalist,FL,South,US,AL,female,0,0
332,0,specialed,2,13,primary,GA,South,US,AL,female,0,1
333,0,libmedia,3,23,middle,WA,West,US,OZ,female,0,0
334,0,curriculum,3,25,middle,CAN,International,CA,AL,female,0,1
335,0,libmedia,1,7,middle,NY,Northeast,US,MN,female,0,0
336,0,other,1,0,generalist,US,South,US,MN,female,0,0
337,0,instructionaltech,1,5,secondary,IL,Midwest,US,AL,male,0,0
338,0,other,3,25,secondary,WI,Midwest,US,OZ,male,0,0
339,0,instructionaltech,1,8,generalist,VA,South,US,OZ,male,0,0
340,0,classteaching,2,20,primary,NH,Northeast,US,MN,female,0,0
341,0,curriculum,2,15,secondary,PK,International,PK,OZ,female,0,0
342,0,other,3,23,middle,PK,International,PK,OZ,female,0,1
343,0,classteaching,1,0,middle,CAN,International,CA,AL,female,0,1
344,0,curriculum,2,13,generalist,DC,South,US,AL,female,0,0
345,0,instructionaltech,1,8,secondary,GA,South,US,AL,male,0,0
346,0,profdev,3,28,generalist,PK,International,PK,OZ,female,0,0
347,0,instructionaltech,2,11,generalist,NJ,Northeast,US,MN,male,0,0
348,0,curriculum,3,24,generalist,MD,South,US,MN,female,0,0
349,0,profdev,3,21,generalist,FL,South,US,AL,female,0,0
350,0,curriculum,3,41,generalist,NC,South,US,MN,female,0,1
351,0,instructionaltech,3,35,secondary,OK,South,US,OZ,female,0,0
352,0,instructionaltech,3,120,NULL,NY,Northeast,US,MN,female,0,0
353,0,curriculum,2,20,generalist,MA,Northeast,US,MN,male,0,0
354,0,techinfrastructure,1,0,generalist,FL,South,US,AL,male,0,0
355,0,curriculum,3,24,primary,OR,West,US,OZ,male,0,0
356,0,profdev,1,10,generalist,CO,West,US,AL,male,0,0
357,0,curriculum,2,20,secondary,ME,Northeast,US,MN,male,0,0
358,0,curriculum,2,20,generalist,AE,International,AE,AL,male,0,0
359,0,instructionaltech,2,20,generalist,OH,Midwest,US,OZ,male,0,0
360,0,techinfrastructure,2,14,generalist,WI,Midwest,US,OZ,male,0,0
361,0,curriculum,3,30,middle,CAN,International,CA,AL,female,0,0
362,0,instructionaltech,2,16,middle,GA,South,US,AL,female,0,1
363,0,profdev,2,15,generalist,WI,Midwest,US,OZ,male,0,0
364,0,other,3,30,generalist,CAN,International,CA,AL,male,0,0
365,0,instructionaltech,2,15,generalist,NM,West,US,MN,female,0,0
366,0,operations,3,25,secondary,CA,West,US,AL,male,0,0
367,0,curriculum,2,11,generalist,PK,International,PK,OZ,female,0,0
368,0,curriculum,1,8,primary,OR,West,US,OZ,female,0,0
369,0,classteaching,1,0,primary,PA,Northeast,US,OZ,male,0,0
370,0,instructionaltech,1,1,generalist,CT,Northeast,US,AL,female,0,0
371,0,curriculum,3,28,primary,UT,West,US,OZ,male,0,0
372,0,curriculum,2,17,generalist,NJ,Northeast,US,MN,female,1,0
373,0,classteaching,1,3,middle,IN,Midwest,US,AL,female,0,0
374,0,instructionaltech,3,24,generalist,NC,South,US,MN,female,0,0
375,0,curriculum,2,15,secondary,WA,West,US,OZ,female,0,0
376,0,classteaching,2,14,primary,WA,West,US,OZ,female,0,0
377,0,classteaching,1,1,middle,CAN,International,CA,AL,female,0,1
378,0,instructionaltech,1,9,generalist,WA,West,US,OZ,female,0,0
379,0,other,2,12,generalist,OM,International,OM,OZ,male,0,0
380,0,techinfrastructure,1,10,generalist,OR,West,US,OZ,male,0,0
381,0,techinfrastructure,3,22,generalist,NH,Northeast,US,MN,male,0,0
382,0,instructionaltech,1,5,generalist,PA,Northeast,US,OZ,male,0,0
383,0,admin,3,31,generalist,ME,Northeast,US,MN,male,0,0
384,0,instructionaltech,2,20,secondary,VA,South,US,OZ,male,0,0
385,0,techinfrastructure,1,0,generalist,PK,International,PK,OZ,male,0,1
386,0,classteaching,2,16,secondary,CT,Northeast,US,AL,male,0,0
387,0,classteaching,1,2,secondary,VA,South,US,OZ,male,0,0
388,0,curriculum,2,20,secondary,FL,South,US,AL,female,0,0
389,0,profdev,2,17,primary,OR,West,US,OZ,female,0,0
390,0,profdev,3,23,generalist,LA,South,US,AL,male,0,0
391,0,curriculum,2,15,secondary,FL,South,US,AL,male,0,0
392,0,classteaching,2,15,middle,WA,West,US,OZ,male,0,0
393,0,instructionaltech,1,10,secondary,PA,Northeast,US,OZ,male,0,0
394,0,classteaching,1,3,primary,NM,West,US,MN,female,0,0
395,0,curriculum,3,28,generalist,PK,International,PK,OZ,female,0,0
396,0,curriculum,2,13,generalist,PK,International,PK,OZ,female,0,0
397,0,curriculum,3,29,generalist,PK,International,PK,OZ,female,0,0
398,0,curriculum,3,25,generalist,PK,International,PK,OZ,female,0,0
399,0,curriculum,2,12,primary,PK,International,PK,OZ,female,0,0
400,0,profdev,3,26,NULL,FL,South,US,AL,female,0,0
401,0,admin,2,19,generalist,CAN,International,CA,AL,male,0,0
402,0,instructionaltech,2,14,generalist,NC,South,US,MN,female,0,1
403,0,profdev,1,4,generalist,PK,International,PK,OZ,female,0,1
