UID,Facilitator,role1,experience,experience2,grades,location,region,country,group,gender,expert,connect
199,0,schooladmin,3,20+,middle, NJ,Northeast,US,N,female,0,0
200,0,schooladmin,2,11 to 20,middle, OH,Midwest,US,OT,female,0,1
201,0,classteaching,1,6 to 10,middle, ME,Northeast,US,M,female,0,0
202,0,instructionaltech,2,11 to 20,primary, VA,South,US,UZ,female,0,0
203,0,profdev,3,20+,generalist, IA,Midwest,US,DL,female,0,0
204,0,instructionaltech,2,11 to 20,generalist, WY,West,US,UZ,female,0,0
205,0,otheredprof,1,0 to 3,generalist, AL,South,US,AC,female,0,0
206,0,curriculum,2,11 to 20,generalist, MT,West,US,M,male,0,1
207,0,instructionaltech,1,0 to 3,secondary, NC,South,US,N,male,0,1
208,0,otheredprof,2,11 to 20,generalist, NJ,Northeast,US,N,male,0,0
209,0,schooladmin,3,20+,secondary, WI,Midwest,US,UZ,male,0,0
210,0,Operations,2,6 to 10,generalist,RI,Northeast,US,OT,male,1,0
211,0,otheredprof,2,11 to 20,generalist, DC,South,US,DL,male,1,1
212,0,schooladmin,3,20+,secondary, NH,Northeast,US,N,male,0,0
213,0,instructionaltech,2,11 to 20,generalist, NY,Northeast,US,N,female,0,0
214,0,profdev,1,6 to 10,middle, ME,Northeast,US,M,female,0,0
215,0,classteaching,1,6 to 10,secondary, ME,Northeast,US,M,female,0,1
216,0,schooladmin,3,20+,middle, NC,South,US,N,female,0,0
217,0,otheredprof,3,20+,generalist, CA,West,US,AC,male,0,1
218,0,otheredprof,1,6 to 10,generalist, DC,South,US,DL,male,0,0
219,0,curriculum,3,20+,secondary, AL,South,US,AC,female,0,0
220,0,profdev,3,20+,generalist, OR,West,US,OT,female,0,0
221,0,specialed,1,6 to 10,secondary, NY,Northeast,US,N,female,0,0
222,0,otheredprof,3,20+,secondary, CT,Northeast,US,AC,male,0,0
223,0,curriculum,2,11 to 20,generalist, AZ,West,US,AC,male,0,0
224,0,instructionaltech,3,20+,generalist, OK,Midwest,US,OT,female,0,0
225,0,otheredprof,3,20+,generalist, AL,South,US,AC,female,0,1
226,0,techinfrastructure,3,20+,generalist, ME,Northeast,US,M,male,0,0
227,0,classteaching,2,11 to 20,middle, ME,Northeast,US,M,female,0,0
228,0,otheredprof,1,0 to 3,generalist, AL,South,US,AC,male,1,0
229,0,instructionaltech,2,11 to 20,primary,CAN,International,CA,AC,male,0,0
230,0,districtadmin,3,20+,generalist, SC,South,US,OT,female,0,0
231,0,districtadmin,3,20+,generalist, VA,South,US,UZ,female,0,1
232,0,libmedia,3,20+,secondary, WV,South,US,UZ,female,0,0
233,0,otheredprof,2,11 to 20,generalist, FL,South,US,DL,female,0,0
234,0,instructionaltech,3,20+,generalist, IA,Midwest,US,DL,female,0,0
235,0,profdev,2,11 to 20,generalist, FL,South,US,DL,female,0,0
236,0,classteaching,1,6 to 10,primary, IN,Midwest,US,DL,female,0,0
237,0,instructionaltech,2,11 to 20,middle, ID,West,US,DL,male,0,0
238,0,instructionaltech,1,4 to 5,generalist, KS,Midwest,US,DL,male,0,0
239,0,instructionaltech,1,6 to 10,generalist, ID,West,US,DL,male,0,0
240,0,schooladmin,1,6 to 10,secondary, LA,South,US,DL,female,0,0
241,0,classteaching,1,4 to 5,generalist,DEN,International,DE,DL,female,0,0
242,0,otheredprof,1,4 to 5,college,JM,International,JM,DL,female,0,0
243,0,instructionaltech,1,6 to 10,secondary, IL,Midwest,US,DL,male,0,0
244,0,profdev,3,20+,generalist, DC,South,US,DL,female,0,0
245,0,profdev,1,0 to 3,generalist, FL,South,US,DL,female,0,1
246,0,instructionaltech,3,20+,primary, WI,Midwest,US,UZ,female,0,0
247,0,classteaching,2,11 to 20,secondary, MI,Midwest,US,M,male,0,0
248,0,techinfrastructure,1,0 to 3,generalist, IL,Midwest,US,DL,male,0,0
249,0,instructionaltech,2,11 to 20,generalist, MO,Midwest,US,M,female,0,0
250,0,instructionaltech,2,11 to 20,generalist, NC,South,US,N,female,0,0
251,0,instructionaltech,2,11 to 20,middle, CO,West,US,AC,male,0,0
252,0,schooladmin,2,11 to 20,secondary, NC,South,US,N,male,0,0
253,0,instructionaltech,3,20+,generalist, MA,Northeast,US,M,female,0,0
254,0,classteaching,3,20+,primary, MN,Midwest,US,M,female,0,0
255,0,instructionaltech,2,11 to 20,generalist, ME,Northeast,US,M,female,0,0
256,0,instructionaltech,3,20+,generalist, ME,Northeast,US,M,female,0,0
257,0,otheredprof,3,20+,generalist, CA,West,US,AC,male,0,0
258,0,schooladmin,3,20+,middle, AL,South,US,AC,male,0,0
259,0,classteaching,3,20+,primary, NC,South,US,N,female,0,0
260,0,classteaching,3,20+,primary, NH,Northeast,US,N,male,0,0
261,0,instructionaltech,2,11 to 20,secondary, NC,South,US,N,female,0,1
262,0,classteaching,3,20+,primary, RI,Northeast,US,OT,female,0,0
263,0,other,2,11 to 20,secondary, FL,South,US,DL,female,0,0
264,0,profdev,2,11 to 20,primary, CO,West,US,AC,female,0,0
265,0,districtadmin,3,20+,generalist, WI,Midwest,US,UZ,male,0,0
266,0,classteaching,1,6 to 10,secondary, WI,Midwest,US,UZ,female,0,0
267,0,districtadmin,3,20+,generalist, AL,South,US,AC,male,0,0
268,0,instructionaltech,1,6 to 10,generalist, TX,South,US,OT,female,0,0
269,0,instructionaltech,3,20+,middle, AL,South,US,AC,female,0,0
270,0,classteaching,1,6 to 10,secondary, PA,Northeast,US,OT,female,0,0
271,0,schooladmin,2,11 to 20,primary, NC,South,US,N,female,0,0
272,0,classteaching,3,20+,secondary, CA,West,US,AC,male,0,0
273,0,instructionaltech,3,20+,generalist, VA,South,US,UZ,female,0,1
274,0,instructionaltech,3,20+,primary, TX,South,US,OT,female,0,0
275,0,techinfrastructure,1,0 to 3,generalist, NH,Northeast,US,N,male,0,0
276,0,techinfrastructure,3,20+,generalist, VA,South,US,UZ,male,0,0
277,0,instructionaltech,3,20+,generalist,CA,West,US,AC,female,1,0
278,0,otheredprof,2,11 to 20,secondary, CA,West,US,AC,female,0,1
279,0,specialed,3,20+,middle, NH,Northeast,US,N,female,0,0
280,0,districtadmin,3,20+,generalist, MN,Midwest,US,M,male,0,0
281,0,schooladmin,3,20+,secondary, ME,Northeast,US,M,male,0,0
282,0,classteaching,1,4 to 5,primary, MO,Midwest,US,M,female,0,0
283,0,libmedia,2,11 to 20,middle, NC,South,US,N,female,0,0
284,0,instructionaltech,1,6 to 10,generalist, NC,South,US,N,male,0,0
285,0,classteaching,1,0 to 3,secondary, WV,South,US,UZ,male,0,1
286,0,districtadmin,3,20+,generalist, VT,Northeast,US,UZ,female,0,0
287,0,districtadmin,1,6 to 10,generalist, MA,Northeast,US,M,female,0,0
288,0,classteaching,1,4 to 5,secondary,CAN,International,CA,AC,male,0,1
289,0,schooladmin,2,11 to 20,secondary, OH,Midwest,US,OT,female,0,0
290,0,instructionaltech,3,20+,generalist, KS,Midwest,US,DL,female,0,0
291,0,instructionaltech,1,6 to 10,secondary, NC,South,US,N,female,0,0
292,0,classteaching,1,0 to 3,primary, NJ,Northeast,US,N,female,0,0
293,0,instructionaltech,3,20+,secondary, AL,South,US,AC,female,1,1
294,0,other,3,20+,secondary, FL,South,US,DL,male,0,1
295,0,classteaching,1,6 to 10,secondary,COL,International,CO,AC,male,0,0
296,0,instructionaltech,3,20+,college,CAN,International,CA,AC,male,0,0
297,0,schooladmin,3,20+,primary, NC,South,US,N,male,0,1
298,0,instructionaltech,3,20+,primary, NC,South,US,N,female,0,0
299,0,districtadmin,3,20+,generalist, PA,Northeast,US,OT,male,0,0
300,0,schooladmin,2,11 to 20,secondary, WI,Midwest,US,UZ,male,0,0
301,0,libmedia,2,11 to 20,generalist, WI,Midwest,US,UZ,female,0,0
302,0,classteaching,3,20+,secondary, NC,South,US,N,female,0,0
303,0,classteaching,3,20+,secondary, NC,South,US,N,female,0,0
304,0,instructionaltech,1,6 to 10,college, NJ,Northeast,US,N,female,0,0
305,0,instructionaltech,3,20+,generalist, WI,Midwest,US,UZ,female,0,0
306,0,instructionaltech,1,6 to 10,generalist, NC,South,US,N,male,0,0
307,0,curriculum,2,11 to 20,generalist, WI,Midwest,US,UZ,female,0,0
308,0,classteaching,1,4 to 5,secondary, NY,Northeast,US,N,female,0,0
309,0,classteaching,1,4 to 5,secondary,GB,International,GB,DL,female,0,0
310,0,instructionaltech,2,11 to 20,college,GB,International,GB,DL,male,0,0
311,0,districtadmin,2,11 to 20,generalist, CT,Northeast,US,AC,male,0,0
312,0,districtadmin,2,11 to 20,generalist, CT,Northeast,US,AC,female,0,0
313,0,classteaching,2,11 to 20,secondary, CA,West,US,AC,female,0,0
314,0,instructionaltech,2,11 to 20,primary, AZ,West,US,AC,female,0,0
315,0,libmedia,3,20+,secondary, CA,West,US,AC,female,0,0
316,0,classteaching,3,20+,secondary,CAN,International,CA,AC,female,0,0
317,0,otheredprof,3,20+,generalist, CA,West,US,AC,male,0,0
318,0,classteaching,2,11 to 20,secondary, MO,Midwest,US,M,female,0,0
319,0,districtadmin,2,11 to 20,generalist, WI,Midwest,US,UZ,male,0,0
320,0,districtadmin,3,20+,generalist, VA,South,US,UZ,female,0,0
321,0,schooladmin,2,11 to 20,primary, NC,South,US,N,male,0,0
322,0,schooladmin,1,6 to 10,generalist, VA,South,US,UZ,male,0,0
323,0,classteaching,1,6 to 10,secondary, CT,Northeast,US,AC,female,0,0
324,0,schooladmin,3,20+,secondary, VA,South,US,UZ,female,0,0
325,0,districtadmin,2,11 to 20,generalist, NC,South,US,N,male,1,0
326,0,otheredprof,3,20+,secondary, NC,South,US,N,female,0,1
327,0,classteaching,1,6 to 10,primary, PA,Northeast,US,OT,male,0,0
328,0,instructionaltech,3,20+,generalist, MO,Midwest,US,M,male,0,0
329,0,techinfrastructure,2,11 to 20,generalist, MO,Midwest,US,M,male,0,0
330,0,otheredprof,3,20+,college, OR,West,US,OT,female,0,0
331,0,curriculum,2,11 to 20,generalist, CA,West,US,AC,male,0,0
332,0,instructionaltech,1,6 to 10,generalist, TN,South,US,OT,female,0,1
333,0,profdev,1,6 to 10,primary, AL,South,US,AC,female,0,0
334,0,schooladmin,3,20+,secondary, NC,South,US,N,female,0,0
335,0,instructionaltech,3,20+,secondary, VA,South,US,UZ,female,0,0
336,0,instructionaltech,2,11 to 20,primary, NC,South,US,N,female,0,0
337,0,profdev,3,20+,secondary, NY,Northeast,US,N,male,0,1
338,0,otheredprof,3,20+,generalist, AL,South,US,AC,female,0,0
339,0,classteaching,3,20+,secondary, VA,South,US,UZ,female,0,0
340,0,districtadmin,3,20+,generalist, SC,South,US,OT,female,0,0
341,0,classteaching,3,20+,secondary, NY,Northeast,US,N,female,0,1
342,0,schooladmin,3,20+,generalist,CAN,International,CA,AC,male,0,0
343,0,classteaching,1,4 to 5,primary, TX,South,US,OT,female,0,0
344,0,instructionaltech,3,20+,generalist, OH,Midwest,US,OT,female,0,0
345,0,instructionaltech,3,20+,primary, VA,South,US,UZ,female,0,0
346,0,instructionaltech,1,6 to 10,secondary, AL,South,US,AC,male,0,0
347,0,instructionaltech,2,11 to 20,middle, NC,South,US,N,male,0,1
348,0,schooladmin,3,20+,secondary, NC,South,US,N,female,0,0
349,0,instructionaltech,1,0 to 3,primary, NY,Northeast,US,N,female,0,0
350,0,schooladmin,2,11 to 20,middle, ME,Northeast,US,M,male,0,0
351,0,instructionaltech,2,11 to 20,generalist, WA,West,US,UZ,male,0,0
352,0,districtadmin,1,6 to 10,generalist, OH,Midwest,US,OT,female,0,0
353,0,libmedia,1,6 to 10,middle, NH,Northeast,US,N,female,0,0
354,0,classteaching,2,11 to 20,secondary, NC,South,US,N,female,0,0
355,0,schooladmin,2,11 to 20,secondary, KS,Midwest,US,DL,female,0,0
356,0,instructionaltech,2,11 to 20,generalist, IL,Midwest,US,DL,female,0,0
357,0,classteaching,3,20+,secondary, NC,South,US,N,female,0,0
358,0,schooladmin,3,20+,primary, NY,Northeast,US,N,female,0,0
359,0,instructionaltech,3,20+,generalist, MA,Northeast,US,M,female,0,0
360,0,instructionaltech,1,0 to 3,generalist,NC,South,US,N,female,0,0
361,0,profdev,3,20+,generalist, NC,South,US,N,female,0,1
362,0,instructionaltech,2,11 to 20,secondary, KS,Midwest,US,DL,female,0,0
363,0,curriculum,3,20+,secondary, IL,Midwest,US,DL,male,0,0
364,0,otheredprof,3,20+,generalist,IN,International,IN,DL,male,0,0
365,0,libmedia,2,11 to 20,college, NC,South,US,N,female,0,0
366,0,profdev,2,11 to 20,generalist,NZ,International,NZ,N,female,0,0
367,0,profdev,1,0 to 3,college, NY,Northeast,US,N,female,0,0
368,0,instructionaltech,2,11 to 20,secondary, NH,Northeast,US,N,female,0,0
369,0,otheredprof,3,20+,college, PA,Northeast,US,OT,female,0,0
370,0,otheredprof,3,20+,generalist, NC,South,US,N,female,0,0
371,0,instructionaltech,2,11 to 20,generalist, NM,West,US,N,female,0,0
372,0,instructionaltech,3,20+,generalist, NC,South,US,N,female,0,0
373,0,instructionaltech,1,6 to 10,primary, NY,Northeast,US,N,female,0,0
374,0,classteaching,2,11 to 20,secondary, NC,South,US,N,female,0,0
375,0,instructionaltech,3,20+,NULL, AL,South,US,AC,female,0,0
376,0,classteaching,2,11 to 20,secondary, NH,Northeast,US,N,female,0,0
